,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total,Depth,Table,Fluorescence
363,EC,0.26,F,SI1,EX,920,239,63,64,N
364,EC,0.27,F,SI2,,"1,222",330,58.9,69,N
365,EC,0.27,G,VVS2,EX,"1,071",289,55.6,69,N
366,EC,0.27,F,SI1,,"1,052",284,66.2,64,N
367,EC,0.27,D,VVS1,,"1,175",317,72.7,64,N
368,EC,0.28,H,VVS2,,"1,738",487,65.9,62,N
369,EC,0.28,F,SI1,,"1,045",293,64,69,N
370,EC,0.28,F,VVS1,,"1,594",446,66.5,74,N
371,EC,0.29,D,VS1,,"1,568",455,67.3,70,F
372,EC,0.29,D,VS1,,"1,386",402,68.1,63,F
373,EC,0.29,D,VS2,,"1,358",394,67.9,70,N
374,EC,0.29,E,VVS2,,"1,594",462,66.8,66,N
375,EC,0.29,E,VVS2,,"1,481",430,69.2,71,N
376,EC,0.29,F,SI1,,"1,045",303,59.6,66,N
377,EC,0.29,F,VS1,,"1,386",402,65.2,71,N
378,EC,0.29,E,VVS2,,"1,095",317,69.9,68,N
379,EC,0.29,E,SI1,,872,253,63.7,63,N
380,EC,0.29,F,VS2,,"1,040",301,71.9,66,N
381,EC,0.29,F,VS1,,"1,568",455,64.4,64,N
382,EC,0.29,G,VS1,,"1,379",400,68.2,72,N
383,EC,0.29,E,SI1,,"1,210",351,66.5,68,N
384,EC,0.29,D,VS1,,"1,442",418,72.6,72,N
385,EC,0.29,J,VS1,,792,230,66.6,70,N
386,EC,0.3,I,VS2,,936,281,68.5,63,N
387,EC,0.3,D,VS1,,"1,479",444,74.3,57,F
388,EC,0.3,E,SI1,,"1,261",378,68.5,75,N
389,EC,0.3,E,VS1,,"1,401",420,64.4,58,F
390,EC,0.3,E,VVS1,,"1,518",455,64.7,66,N
391,EC,0.3,D,SI1,,"1,190",357,66.7,64,N
392,EC,0.3,H,VS1,,"1,152",346,69,60,F
393,EC,0.3,D,IF,,"2,088",626,66.3,61,N
394,EC,0.3,E,VVS1,,"1,541",462,63.9,68,N
395,EC,0.3,D,VVS2,,"1,564",469,65.3,66,N
396,EC,0.3,G,VVS2,,"1,425",428,65.8,66,F
397,EC,0.3,H,VS2,,"1,050",315,67.2,59,N
398,EC,0.3,G,VVS2,,"1,425",428,71.5,62,N
399,EC,0.3,H,VVS2,,"1,275",382,62.7,64,N
400,EC,0.18,G,IF,,"1,151",207,65.7,69,N
401,EC,0.18,E,VVS2,,"1,260",227,70.8,70,N
402,EC,0.18,E,SI2,EX,441,79,79.5,61,N
403,EC,0.18,F,VVS1,EX,958,172,59.4,60,N
404,EC,0.18,F,SI1,EX,986,177,65,67,N
405,EC,0.18,D,VS2,,905,163,59.1,65,N
406,EC,0.18,D,SI1,,925,167,66,66,N
407,EC,0.18,E,VS1,,"1,096",197,65.9,68,N
408,EC,0.18,F,VVS2,,753,136,55,70,F
409,EC,0.18,F,VS1,,937,169,66.4,69,N
410,EC,0.18,F,VS1,,733,132,70.8,76,F
411,EC,0.18,G,VVS2,,928,167,70.6,70,N
412,EC,0.18,G,VS1,,881,159,66.3,68,N
413,EC,0.18,D,IF,,"1,090",196,59.6,68,N
414,EC,0.18,E,VS1,,987,178,59.4,73,F
415,EC,0.19,D,VVS1,EX,933,177,61.3,65,N
416,EC,0.19,E,VS2,EX,832,158,58.2,62,N
417,EC,0.19,E,SI1,EX,713,135,60.3,66,N
418,EC,0.19,E,VS1,EX,728,138,53.7,71,N
419,EC,0.19,G,VVS2,EX,813,155,62,60,N
420,EC,0.19,F,VS2,EX,655,124,77.4,64,N
421,EC,0.19,F,VVS1,EX,"1,118",212,65.9,62,N
422,EC,0.19,D,VVS1,EX,"1,383",263,63.8,64,N
423,EC,0.19,F,VS2,EX,"1,171",223,62.7,62,N
424,EC,0.19,D,IF,,"1,252",238,60.9,77,N
425,EC,0.19,E,IF,,"1,261",240,63,69,N
426,EC,0.19,E,VVS1,,"1,284",244,59.5,68,N
427,EC,0.19,F,VS2,,865,164,65.2,73,N
428,EC,0.2,F,IF,EX,921,184,55.5,61,N
429,EC,0.2,D,SI1,,919,184,65.3,69,N
430,EC,0.21,H,VS2,EX,895,188,62.2,62,N
431,EC,0.22,F,VVS2,EX,"1,040",229,67.7,69,N
432,EC,0.22,E,VVS2,EX,"1,245",274,61.8,63,N
433,EC,0.23,D,VS1,,"1,330",306,63.1,71,N
434,EC,0.23,E,VS1,EX,"1,157",266,50,59,N
435,EC,0.23,E,VS1,EX,"1,273",293,59.3,68,N
436,EC,0.23,F,SI2,EX,713,164,62.4,64,F
437,EC,0.23,D,VVS1,,"1,803",415,67.3,71,N
438,EC,0.23,D,IF,,"1,803",415,75.9,63,F
439,EC,0.23,F,VS1,EX,"1,114",256,63.3,60,N
440,EC,0.23,G,VS1,EX,963,221,63.4,59,N
441,EC,0.23,G,SI1,,765,176,70.7,65,N
442,EC,0.24,I,VVS2,,"1,133",272,79.9,70,N
443,EC,0.24,E,SI1,,"1,279",307,62.4,82,N
444,EC,0.24,G,VS2,EX,"1,117",268,66.5,62,N
445,EC,0.24,H,VS2,EX,"1,117",268,63.1,62,N
446,EC,0.24,F,VVS2,EX,"1,330",319,53.1,68,N
447,EC,0.24,D,VVS2,EX,"1,116",268,55.1,66,N
448,EC,0.24,D,VVS1,,"1,739",417,65.6,70,F
